68,13.8700
52,17.6500
63,22.1500
55,12.3200
76,22.2900
54,16.3200
81,29.4100
54,14.4600
93,25.0900
63,20.8000
67,18.7900
60,11.0600
84,34.3600
83,27.7600
72,18.2600
47, 7.9700
41,11.0600
81,26.8700
56,18.7400
64,24.4900
54,15.3900
80,37.1000
100,38.1000
70,22.4700
77,20.0100
71,28.6800
65,13.8600
57,17.7400
71,17.4300
49,14.3200
59,14.0800
59,19.2000
83,26.6600
58,15.2200
100,34.0200
65,24.8900
63,22.6300
119,47.2200
80,23.4900
82,24.8900
69,19.4700
75,25.0300
71,23.8700
