tt_min
7
12
13
13
13
30
55
15
15
6
5
15
10
15
7
14
15
15
15
15
5
13
30
35
15
15
7
60
4
45
17
10
60
20
13
5
40
30
17
10
11
7
15
15
12
12
15
15
12
