x	y	z
26	5287.3	203.36
9	1257.9	139.76
16	2702.3	168.90
39	4624.1	118.57
14	1881.9	134.42
44	4258.6	96.79
16	2888.3	180.52
166	28637.0	172.51
453	114309.2	252.34
12	1961.6	163.47
25	2969.4	118.78
19	2835.7	149.25
21	2219.7	105.70
46	7083.5	153.99
9	1154.3	128.26
14	2188.7	156.34
18	3244.0	180.22
11	444.4	40.40
